Name,Description,Type,Cost,Data1,Data2
Baseball,Used to recruit Players. The cost is reasonable.,Baseball,3,10,
Game Ball,Regulation Game balls perform better than cheap balls.,Baseball,15,25,
Series Ball,Post-season Series balls perform better than a Game Ball.,Baseball,50,50,
Park Ball,This special ball is for recruiting Players in Strike Zone.,Baseball,,75,
Signed Ball,This ball can recruit Players 100% of the time.,Baseball,,100,
X-Bat,"Available only in games, batting ability will increase.",Game,100,Bat,2
X-Field,"Available only in games, field ability will increase.",Game,100,Field,2
X-Speed,"Available only in games, speed will increase.",Game,100,Speed,2
X-Throw,"In a game, throwing ability will increase.",Game,100,Throw,2
Guard Spec.,"In a game, the opposing Player can’t use special abilities.",Game,100,Special,
Dire Hit,"In a game, your swings will be more effective.",Game,100,Crit,
X-Accuracy,"In a game, your pitching accuracy will increase.",Game,100,Accuracy,
X-Contact,"In a game, your hitting contact will increase.",Game,100,Contact,
Cutout,A cardboard cutout of a Player. Try using it in a game.,Game,,,
HM01,,Move,,Cut,
HM02,,Move,,Fly,
HM03,,Move,,Surf,
HM04,,Move,,Strength,
HM05,,Move,,Flash,
TM01,,Move,,KnuckleCurve,
TM02,,Move,,Eephus Pitch,
TM03,,Move,,Slurve,
TM04,,Move,,Screwball,
TM05,,Move,,Fosh,
TM06,,Move,,Filth,
TM07,,Move,,Palmball,
TM08,,Move,,Sinker,
TM09,,Move,,Forkball,
TM10,,Move,,Two-Seam,
TM11,,Move,,Bubbleball,
TM12,,Move,,Spitball,
TM13,,Move,,Frozen Rope,
TM14,,Move,,Shiver,
TM15,,Move,,Smash,
TM16,,Move,,Moneyball,
TM17,,Move,,Brushback,
TM18,,Move,,Comebacker,
TM19,,Move,,Beanball,
TM20,,Move,,Rage,
TM21,,Move,,Kudzuball,
TM22,,Move,,Plant n Turn,
TM23,,Move,,Dragon Bunt,
TM24,,Move,,LightninBolt,
TM25,,Move,,ThunderStick,
TM26,,Move,,Spelunker,
TM27,,Move,,Crack,
TM28,,Move,,Dig In,
TM29,,Move,,Kinesis,
TM30,,Move,,Blink,
TM31,,Move,,Study,
TM32,,Move,,Splitter,
TM33,,Move,,Predict,
TM34,,Move,,Chant,
TM35,,Move,,Knuckleball,
TM36,,Move,,Seppukuball,
TM37,,Move,,Bomb,
TM38,,Move,,High Heat,
TM39,,Move,,Swat,
TM40,,Move,,Bash,
TM41,,Move,,Soft Toss,
TM42,,Move,,Brain Melter,
TM43,,Move,,Sky Smash,
TM44,,Move,,Rest,
TM45,,Move,,Thunderball,
TM46,,Move,,Psych Out,
TM47,,Move,,Explode,
TM48,,Move,,Rock Slider,
TM49,,Move,,Three-Seam,
